1 директор; 20000; 20
1 менеджер; 13000; 50
1 тракторист; 12700; 100
1 программист; 14234; 21
1 инженер; 14234; 21
2 менеджер; 10; 33
2 директор; 10; 15
2 менеджер; 5; 21
2 землекоп; 10; 10
2 программист; 6; 23
2 водитель; 23; 55
2 слесарь; 22; 32
2 землекоп; 15; 15
2 землекоп; 5; 5
2 водитель; 10; 10
2 водитель; 5; 7
2 менеджер; 7; 25
2 начальникпароходства; 10; 10
2 начальникпароходства; 15; 15
2 градоначальник; 15; 15
2 слесарь; 25; 35
2 менеджер; 6; 22
2 водитель; 15; 20
3 Губенко Иван Геннадьевич; слесарь; техническое
3 Доронин Егор Александрович; программист; программное
3 Ерилов Юрий Сергеевич; слесарь; техническое
3 Жлуткин Роман Валерьевич; программист; программное
3 Завьялова Вероника Вячеславовна; бухгалтер; бухгалтерия
3 Исаков Александр Владимирович; уборщик; клининг
3 Казачкова Олеся Васильевна; бухгалтер; бухгалтерия
3 Каймаков Роман Константинович; монтажник; техническое
3 Клыжко Захар Юрьевич; программист; программное
3 Лавелин Александр Александрович; монтажник; техническое
4 Бор Иван Сергеевич; 30; 40
4 Бро Иван Сергеевич; 30; 40
4 Грибов Юрий Андреевич; 40; 55
4 Губенко Иван Геннадьевич; 40; 55
4 Азатьян Никита Сергеевич; 3; 10
4 Аксененко Олег Юрьевич; 10; 21
